message;severity;node;stamp;topics;location
"log:58";"16";"/basic_logger";"1607569299.285919608";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:58";"8";"/basic_logger";"1607569299.285908108";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:58";"4";"/basic_logger";"1607569299.285886408";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:58";"2";"/basic_logger";"1607569299.285836408";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:57";"16";"/basic_logger";"1607569298.286126007";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:57";"8";"/basic_logger";"1607569298.286028407";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:57";"4";"/basic_logger";"1607569298.286002207";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:57";"2";"/basic_logger";"1607569298.285952507";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:56";"16";"/basic_logger";"1607569297.286112207";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:56";"8";"/basic_logger";"1607569297.286083307";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:56";"4";"/basic_logger";"1607569297.286044407";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:56";"2";"/basic_logger";"1607569297.285997007";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:55";"16";"/basic_logger";"1607569296.285990506";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:55";"8";"/basic_logger";"1607569296.285943206";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:55";"4";"/basic_logger";"1607569296.285935106";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:55";"2";"/basic_logger";"1607569296.285875106";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:54";"16";"/basic_logger";"1607569295.285930106";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:54";"8";"/basic_logger";"1607569295.285924006";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:54";"4";"/basic_logger";"1607569295.285912506";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:54";"2";"/basic_logger";"1607569295.285866106";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:53";"16";"/basic_logger";"1607569294.285906805";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:53";"8";"/basic_logger";"1607569294.285900205";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:53";"4";"/basic_logger";"1607569294.285888405";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:53";"2";"/basic_logger";"1607569294.285844005";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:52";"16";"/basic_logger";"1607569293.286148602";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:52";"8";"/basic_logger";"1607569293.286136902";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:52";"4";"/basic_logger";"1607569293.286095702";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:52";"2";"/basic_logger";"1607569293.286014302";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:51";"16";"/basic_logger";"1607569292.285946892";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:51";"8";"/basic_logger";"1607569292.285940992";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:51";"4";"/basic_logger";"1607569292.285929492";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:51";"2";"/basic_logger";"1607569292.285832192";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:50";"16";"/basic_logger";"1607569291.285915082";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:50";"8";"/basic_logger";"1607569291.285893782";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:50";"4";"/basic_logger";"1607569291.285858082";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:50";"2";"/basic_logger";"1607569291.285807382";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:49";"16";"/basic_logger";"1607569290.286095772";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:49";"8";"/basic_logger";"1607569290.286055472";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:49";"4";"/basic_logger";"1607569290.286032972";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:49";"2";"/basic_logger";"1607569290.286000772";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:48";"16";"/basic_logger";"1607569289.286096562";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:48";"8";"/basic_logger";"1607569289.286039062";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:48";"4";"/basic_logger";"1607569289.286013362";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:48";"2";"/basic_logger";"1607569289.285965062";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:47";"16";"/basic_logger";"1607569288.285938852";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:47";"8";"/basic_logger";"1607569288.285932652";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:47";"4";"/basic_logger";"1607569288.285920352";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:47";"2";"/basic_logger";"1607569288.285836652";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:46";"16";"/basic_logger";"1607569287.286049941";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:46";"8";"/basic_logger";"1607569287.286024041";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:46";"4";"/basic_logger";"1607569287.286001041";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:46";"2";"/basic_logger";"1607569287.285967741";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:45";"16";"/basic_logger";"1607569286.286031231";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:45";"8";"/basic_logger";"1607569286.285966131";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:45";"4";"/basic_logger";"1607569286.285936231";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:45";"2";"/basic_logger";"1607569286.285874031";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:44";"16";"/basic_logger";"1607569285.286019322";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:44";"8";"/basic_logger";"1607569285.285995922";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:44";"4";"/basic_logger";"1607569285.285954622";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:44";"2";"/basic_logger";"1607569285.285909322";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:43";"16";"/basic_logger";"1607569284.285964515";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:43";"8";"/basic_logger";"1607569284.285946415";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:43";"4";"/basic_logger";"1607569284.285934415";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:43";"2";"/basic_logger";"1607569284.285885215";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:42";"16";"/basic_logger";"1607569283.286035607";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:42";"8";"/basic_logger";"1607569283.286005807";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:42";"4";"/basic_logger";"1607569283.285978707";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:42";"2";"/basic_logger";"1607569283.285932707";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:41";"16";"/basic_logger";"1607569282.286160900";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:41";"8";"/basic_logger";"1607569282.286027400";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:41";"4";"/basic_logger";"1607569282.286001900";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:41";"2";"/basic_logger";"1607569282.285952700";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:40";"16";"/basic_logger";"1607569281.286168993";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:40";"8";"/basic_logger";"1607569281.286003993";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:40";"4";"/basic_logger";"1607569281.285952893";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:40";"2";"/basic_logger";"1607569281.285907893";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:39";"16";"/basic_logger";"1607569280.286046685";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:39";"8";"/basic_logger";"1607569280.286019185";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:39";"4";"/basic_logger";"1607569280.285993185";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
